
2025/01/06 (22:33:41) | WARNING: ROCm SMI: Failed to get device name
2025/01/06 (22:33:41) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/01/06 (22:33:41) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/06 (22:33:41) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/01/06 (22:33:41) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/01/06 (22:33:41) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/16 (10:43:20) | ===> btop++ v.1.3.2
2025/01/16 (10:43:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/16 (10:43:20) | WARNING: ROCm SMI: Failed to get device name
2025/01/16 (10:43:20) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/01/16 (10:43:20) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/16 (10:43:20) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/01/16 (10:43:20) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/01/16 (10:43:20) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/19 (19:16:28) | ===> btop++ v.1.3.2
2025/01/19 (19:16:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/19 (19:16:28) | WARNING: ROCm SMI: Failed to get device name
2025/01/19 (19:16:28) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/01/19 (19:16:28) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/19 (19:16:28) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/01/19 (19:16:28) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/01/19 (19:16:28) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/21 (16:59:47) | ===> btop++ v.1.3.2
2025/01/21 (16:59:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/21 (16:59:48) | WARNING: ROCm SMI: Failed to get device name
2025/01/21 (16:59:48) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/01/21 (16:59:48) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/21 (16:59:48) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/01/21 (16:59:48) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/01/21 (16:59:48) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/26 (00:04:16) | ===> btop++ v.1.3.2
2025/01/26 (00:04:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/26 (00:04:16) | WARNING: ROCm SMI: Failed to get device name
2025/01/26 (00:04:16) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/01/26 (00:04:16) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/26 (00:04:16) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/01/26 (00:04:16) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/01/26 (00:04:16) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/01/26 (11:44:13) | ERROR: Stall in Runner thread, restarting!

2025/01/26 (12:28:24) | ===> btop++ v.1.3.2
2025/01/26 (12:28:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/26 (12:28:24) | WARNING: ROCm SMI: Failed to get device name
2025/01/26 (12:28:24) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/01/26 (12:28:24) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/26 (12:28:24) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/01/26 (12:28:24) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/01/26 (12:28:24) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/26 (12:30:30) | ===> btop++ v.1.3.2
2025/01/26 (12:30:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/26 (12:30:30) | WARNING: ROCm SMI: Failed to get device name
2025/01/26 (12:30:30) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/01/26 (12:30:30) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/26 (12:30:30) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/01/26 (12:30:30) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/01/26 (12:30:30) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/26 (12:32:33) | ===> btop++ v.1.3.2
2025/01/26 (12:32:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/26 (12:32:33) | WARNING: ROCm SMI: Failed to get device name
2025/01/26 (12:32:33) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/01/26 (12:32:33) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/26 (12:32:33) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/01/26 (12:32:33) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/01/26 (12:32:33) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/26 (12:32:45) | ===> btop++ v.1.3.2
2025/01/26 (12:32:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/26 (12:32:45) | WARNING: ROCm SMI: Failed to get device name
2025/01/26 (12:32:45) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/01/26 (12:32:45) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/26 (12:32:45) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/01/26 (12:32:45) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/01/26 (12:32:45) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/26 (13:33:06) | ===> btop++ v.1.4.0
2025/01/26 (13:33:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/26 (13:33:06) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/01/26 (13:33:06) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/26 (13:33:06) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/01/26 (13:33:06) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/01/26 (13:33:06) | WARNING: ROCm SMI: Failed to get PCIe throughput
